id,objectid,nombre,direccion,tipozona,so2,no2,o3,co,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid,lon,lat,created_at
1,13,Francia,AVDA.FRANCIA,Urbana,1,16,26,0,16,4,Tráfico,2025-11-27 11:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-11-27 11:41:06.529964
2,19,Centro,VALÈNCIA CENTRE,Urbana,,18,,,15,4,Tráfico,2025-11-27 11:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-11-27 11:41:06.529964
3,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,4,0,20,0,11,3,Tráfico,2025-11-27 11:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-11-27 11:41:06.529964
4,16,Pista de Silla,PISTA DE SILLA,Urbana,2,16,36,0,15,4,Tráfico,2025-11-27 11:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-11-27 11:41:06.529964
5,17,Universidad Politécnica,POLITÈCNIC,Suburbana,2,11,37,,6,2,Fondo,2025-11-27 11:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-11-27 11:41:06.529964
6,12,Dr. Lluch,DR.LLUCH,Urbana,,38,,,22,3,Tráfico,2025-11-27 11:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-11-27 11:41:06.529964
7,22,Patraix,PATRAIX,Urbana,,42,,,26,7,Tráfico,2025-11-27 11:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-11-27 11:41:06.529964
8,20,Cabanyal,CABANYAL,Urbana,,23,,,12,3,Fondo,2025-11-27 11:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-11-27 11:41:06.529964
9,14,Boulevar Sur,BULEVARD SUD,Urbana,4,4,34,,,,Tráfico,2025-11-27 11:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-11-27 11:41:06.529964
10,21,Olivereta,OLIVERETA,Urbana,,70,,,21,5,Tráfico,2025-11-27 11:00:00,Razonablemente Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-11-27 11:41:06.529964
11,18,Viveros,VIVERS,Urbana,3,13,29,,,,Fondo,2025-11-27 11:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-11-27 11:41:06.529964
